# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Aug 30 13:25:08 2024
#
# User preference: *
#
# COLUMN kepoi_name:     KOI Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
#
loc_rowid,kepoi_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_srad,koi_srad_err1,koi_srad_err2
17,K00744.01,FALSE POSITIVE,19.221388942,1.1230000e-06,-1.1230000e-06,49.29,1.603e+01,-5.000e+00,0.9470,0.3080,-0.0960
18,K00745.01,FALSE POSITIVE,16.469837740,1.3610000e-05,-1.3610000e-05,7.94,8.900e-01,-8.900e-01,0.7860,0.0880,-0.0880
19,K00746.01,CONFIRMED,9.273581730,1.0370000e-05,-1.0370000e-05,2.47,2.000e-01,-2.400e-01,0.6960,0.0560,-0.0680
20,K00747.01,CONFIRMED,6.029303290,5.5090000e-06,-5.5090000e-06,2.85,2.600e-01,-1.500e-01,0.6720,0.0620,-0.0360
21,K00748.01,FALSE POSITIVE,2.696370652,7.5340000e-06,-7.5340000e-06,1.58,1.300e-01,-1.600e-01,0.8190,0.0670,-0.0820
22,K00749.01,CONFIRMED,5.349553819,8.8340000e-06,-8.8340000e-06,2.55,1.600e-01,-2.400e-01,0.9100,0.0570,-0.0860
23,K00749.02,CONFIRMED,3.941052210,1.0940000e-05,-1.0940000e-05,1.70,1.100e-01,-1.600e-01,0.9100,0.0570,-0.0860
24,K00749.03,CONFIRMED,8.109048070,6.7870000e-05,-6.7870000e-05,1.30,9.000e-02,-1.200e-01,0.9100,0.0570,-0.0860
25,K00113.01,FALSE POSITIVE,386.603052800,1.3690000e-04,-1.3690000e-04,41.50,1.680e+00,-1.680e+00,1.5800,0.0640,-0.0640
26,K00750.01,CONFIRMED,21.676991930,7.0100000e-05,-7.0100000e-05,2.95,1.200e-01,-2.300e-01,0.8280,0.0320,-0.0650
27,K00751.01,CONFIRMED,4.996779680,1.3890000e-05,-1.3890000e-05,2.78,5.200e-01,-2.300e-01,0.8470,0.1610,-0.0690
28,K00769.01,CONFIRMED,4.280963604,6.1410000e-06,-6.1410000e-06,2.30,5.800e-01,-1.900e-01,0.8310,0.2070,-0.0690
29,K00770.01,FALSE POSITIVE,1.506354090,4.7000000e-07,-4.7000000e-07,4.53,1.010e+00,-4.400e-01,0.8310,0.1860,-0.0800
30,K00771.01,FALSE POSITIVE,670.645531000,1.2370000e-03,-1.2370000e-03,14.14,2.130e+00,-7.100e-01,0.9830,0.1480,-0.0490
31,K00772.01,FALSE POSITIVE,61.256362800,1.5600000e-04,-1.5600000e-04,39.87,1.279e+01,-5.480e+00,1.0910,0.3500,-0.1500
32,K00773.01,CONFIRMED,38.377548600,1.6020000e-04,-1.6020000e-04,2.82,3.700e-01,-3.400e-01,1.0360,0.1380,-0.1240
33,K00757.02,CONFIRMED,41.197255020,9.3450000e-05,-9.3450000e-05,3.86,1.500e-01,-3.300e-01,0.8480,0.0330,-0.0720
34,K00757.03,CONFIRMED,6.252962249,9.5770000e-06,-9.5770000e-06,2.65,1.000e-01,-2.300e-01,0.8480,0.0330,-0.0720
35,K00758.01,CONFIRMED,16.013084190,4.8540000e-05,-4.8540000e-05,3.10,3.400e-01,-3.100e-01,0.8260,0.0910,-0.0820
36,K00759.01,CONFIRMED,32.628766720,5.8010000e-05,-5.8010000e-05,3.36,7.600e-01,-3.300e-01,0.7980,0.1810,-0.0770
37,K00759.02,CONFIRMED,91.773286200,7.5180000e-04,-7.5180000e-04,2.12,4.800e-01,-2.100e-01,0.7980,0.1810,-0.0770
38,K00760.01,CONFIRMED,4.959319244,5.1500000e-07,-5.1500000e-07,12.21,1.960e+00,-1.460e+00,1.0820,0.1730,-0.1300
39,K00761.01,FALSE POSITIVE,2.701287801,5.6340000e-06,-5.6340000e-06,6.54,1.640e+00,-7.500e-01,0.9100,0.2280,-0.1050
40,K00762.01,CONFIRMED,4.498765110,1.7770000e-05,-1.7770000e-05,2.10,6.500e-01,-2.200e-01,0.9690,0.3000,-0.1000
41,K00763.01,FALSE POSITIVE,19.651209505,5.8620000e-06,-5.8620000e-06,12.42,3.920e+00,-1.690e+00,1.0630,0.3360,-0.1440
42,K00115.01,CONFIRMED,5.412203927,3.0520000e-06,-3.0520000e-06,2.94,4.300e-01,-3.800e-01,1.0870,0.1570,-0.1420
43,K00764.01,CONFIRMED,41.439586620,7.5570000e-05,-7.5570000e-05,5.50,1.570e+00,-9.600e-01,1.0460,0.2970,-0.1830
44,K00765.01,CONFIRMED,8.353895230,1.5240000e-05,-1.5240000e-05,2.52,5.400e-01,-2.400e-01,0.7870,0.1690,-0.0730
45,K00766.01,CONFIRMED,4.125543472,3.1330000e-06,-3.1330000e-06,4.43,1.440e+00,-5.100e-01,1.1030,0.3580,-0.1280
46,K00767.01,CONFIRMED,2.816504904,1.6500000e-07,-1.6500000e-07,12.21,1.620e+00,-8.700e-01,0.9550,0.1270,-0.0680
47,K00768.01,FALSE POSITIVE,33.933734470,6.1540000e-05,-6.1540000e-05,7.34,9.000e-01,-6.000e-01,0.7050,0.0860,-0.0580
48,K00786.01,CONFIRMED,3.689920099,8.9820000e-06,-8.9820000e-06,1.89,5.400e-01,-2.000e-01,0.9170,0.2620,-0.0980
49,K00787.01,CONFIRMED,4.431238488,6.1060000e-06,-6.1060000e-06,3.25,4.700e-01,-2.500e-01,1.0150,0.1480,-0.0790
50,K00787.02,CONFIRMED,11.379369860,2.4150000e-05,-2.4150000e-05,3.95,5.700e-01,-3.100e-01,1.0150,0.1480,-0.0790
51,K00788.01,CONFIRMED,26.394328970,5.7240000e-05,-5.7240000e-05,3.07,4.100e-01,-2.200e-01,0.7630,0.1030,-0.0550
52,K00116.01,CONFIRMED,13.570782810,1.5850000e-05,-1.5850000e-05,2.64,4.000e-01,-2.700e-01,1.0120,0.1540,-0.1030
53,K00115.02,CONFIRMED,7.125943870,1.4060000e-05,-1.4060000e-05,1.79,2.600e-01,-2.300e-01,1.0870,0.1570,-0.1420
54,K00774.01,FALSE POSITIVE,7.442652004,7.0200000e-07,-7.0200000e-07,15.03,4.730e+00,-1.580e+00,0.9560,0.3010,-0.1000
55,K00775.01,CONFIRMED,16.384899880,5.2190000e-05,-5.2190000e-05,2.00,9.000e-02,-1.000e-01,0.6150,0.0270,-0.0290
56,K00775.02,CONFIRMED,7.877416300,1.4930000e-05,-1.4930000e-05,2.16,9.000e-02,-1.100e-01,0.6150,0.0270,-0.0290
57,K00775.03,CONFIRMED,36.445400100,1.8090000e-04,-1.8090000e-04,1.99,9.000e-02,-9.000e-02,0.6150,0.0270,-0.0290
58,K00776.01,CONFIRMED,3.728732147,9.3600000e-07,-9.3600000e-07,6.02,1.220e+00,-5.200e-01,0.8090,0.1640,-0.0700
59,K00777.01,CANDIDATE,40.419503700,1.1390000e-04,-1.1390000e-04,7.51,1.120e+00,-9.100e-01,0.7810,0.1160,-0.0950
60,K00778.01,CONFIRMED,2.243380573,2.6700000e-06,-2.6700000e-06,1.99,1.000e-01,-1.200e-01,0.5640,0.0300,-0.0330
61,K00779.01,FALSE POSITIVE,10.405998015,2.5150000e-06,-2.5150000e-06,11.23,2.920e+00,-1.950e+00,0.9240,0.2410,-0.1600
62,K00780.01,CONFIRMED,2.337437946,1.9510000e-06,-1.9510000e-06,2.34,1.700e-01,-9.000e-02,0.7650,0.0550,-0.0280
63,K00780.02,CANDIDATE,7.240661200,1.6170000e-05,-1.6170000e-05,19.45,1.400e+00,-7.100e-01,0.7650,0.0550,-0.0280
64,K00115.03,CANDIDATE,3.435916310,4.7290000e-05,-4.7290000e-05,0.55,8.000e-02,-7.000e-02,1.0870,0.1570,-0.1420
65,K00781.01,CONFIRMED,11.598222330,1.4070000e-05,-1.4070000e-05,2.65,2.100e-01,-2.900e-01,0.4730,0.0370,-0.0510
66,K00782.01,CONFIRMED,6.575315881,3.7260000e-06,-3.7260000e-06,5.31,1.500e+00,-8.100e-01,0.9890,0.2800,-0.1510
67,K00783.01,CONFIRMED,7.275040844,4.6770000e-06,-4.6770000e-06,4.86,1.050e+00,-3.700e-01,0.8670,0.1870,-0.0670
68,K00784.01,CONFIRMED,19.271538920,4.1450000e-05,-4.1450000e-05,1.93,1.000e-01,-1.200e-01,0.5600,0.0300,-0.0340
69,K00784.02,CONFIRMED,10.065243170,1.4900000e-05,-1.4900000e-05,1.91,1.000e-01,-1.200e-01,0.5600,0.0300,-0.0340
70,K00785.01,CONFIRMED,12.393565100,3.9320000e-05,-3.9320000e-05,2.66,5.400e-01,-2.300e-01,0.7500,0.1520,-0.0650
71,K00116.02,CONFIRMED,43.844397210,9.6130000e-05,-9.6130000e-05,2.87,4.300e-01,-3.000e-01,1.0120,0.1540,-0.1030
72,K00798.01,FALSE POSITIVE,3.341913228,9.9530000e-06,-9.9530000e-06,21.55,3.540e+00,-1.890e+00,0.8110,0.1330,-0.0710
73,K00799.01,FALSE POSITIVE,1.626630225,1.0150000e-06,-1.0150000e-06,32.43,9.000e+00,-4.830e+00,0.9730,0.2700,-0.1450
74,K00800.01,CONFIRMED,2.711504086,3.8000000e-06,-3.8000000e-06,3.12,1.020e+00,-3.400e-01,1.0760,0.3530,-0.1180
75,K00800.02,CONFIRMED,7.212037480,1.5530000e-05,-1.5530000e-05,3.32,1.090e+00,-3.600e-01,1.0760,0.3530,-0.1180
76,K00789.01,FALSE POSITIVE,14.179818700,1.6430000e-04,-1.6430000e-04,1.88,7.100e-01,-1.400e-01,0.8780,0.3330,-0.0650
77,K00790.01,CONFIRMED,8.472379110,1.5600000e-05,-1.5600000e-05,2.59,3.700e-01,-2.200e-01,0.7880,0.1130,-0.0660
78,K00790.02,CONFIRMED,60.418936900,5.0430000e-04,-5.0430000e-04,2.36,3.400e-01,-2.000e-01,0.7880,0.1130,-0.0660
79,K00791.01,CONFIRMED,12.611904345,6.6500000e-06,-6.6500000e-06,7.40,2.200e+00,-7.300e-01,0.9190,0.2730,-0.0910
80,K00792.01,FALSE POSITIVE,1.433769925,7.4100000e-07,-7.4100000e-07,46.58,8.010e+00,-8.000e+00,1.3390,0.2300,-0.2300
81,K00793.01,FALSE POSITIVE,10.318723010,2.8460000e-05,-2.8460000e-05,28.59,8.610e+00,-3.690e+00,1.0600,0.3190,-0.1370
82,K00794.01,CONFIRMED,2.539183147,5.0730000e-06,-5.0730000e-06,2.06,2.900e-01,-2.800e-01,1.0620,0.1540,-0.1400
83,K00795.01,CONFIRMED,6.770300385,9.5370000e-06,-9.5370000e-06,2.77,4.600e-01,-1.500e-01,0.6790,0.1120,-0.0370
84,K00796.01,FALSE POSITIVE,0.444291966,9.7000000e-08,-9.7000000e-08,27.51,3.460e+00,-1.730e+00,0.6360,0.0800,-0.0400
85,K00797.01,CANDIDATE,10.181584004,6.1880000e-06,-6.1880000e-06,7.73,2.170e+00,-7.200e-01,0.8360,0.2340,-0.0780
86,K00812.02,CONFIRMED,20.060363360,5.8390000e-05,-5.8390000e-05,1.96,1.300e-01,-1.600e-01,0.4930,0.0330,-0.0400
87,K00812.03,CONFIRMED,46.184203900,2.6540000e-04,-2.6540000e-04,1.83,1.200e-01,-1.500e-01,0.4930,0.0330,-0.0400
88,K00116.04,CONFIRMED,23.980085400,2.0030000e-04,-2.0030000e-04,1.31,2.000e-01,-1.300e-01,1.0120,0.1540,-0.1030
89,K00812.04,CONFIRMED,7.825021680,3.8900000e-05,-3.8900000e-05,1.20,8.000e-02,-1.000e-01,0.4930,0.0330,-0.0400
90,K00813.01,CONFIRMED,3.895936525,7.7100000e-07,-7.7100000e-07,7.34,1.530e+00,-6.500e-01,0.7740,0.1610,-0.0690
91,K00814.01,CONFIRMED,22.366464660,9.7610000e-05,-9.7610000e-05,2.32,3.800e-01,-1.600e-01,0.7340,0.1220,-0.0520
92,K00801.01,CONFIRMED,1.625522174,1.5800000e-07,-1.5800000e-07,9.73,1.410e+00,-1.420e+00,1.1060,0.1610,-0.1610
93,K00802.01,CANDIDATE,19.620346923,3.7300000e-06,-3.7300000e-06,13.60,1.820e+00,-9.200e-01,0.9050,0.1210,-0.0610
94,K00803.01,FALSE POSITIVE,7.544039000,1.0230000e-04,-1.0230000e-04,17.47,4.120e+00,-1.650e+00,0.8240,0.1940,-0.0780
95,K00804.01,CONFIRMED,9.029306890,1.6480000e-05,-1.6480000e-05,2.57,4.400e-01,-2.600e-01,0.8200,0.1410,-0.0820
96,K00805.01,FALSE POSITIVE,10.328035714,3.7620000e-06,-3.7620000e-06,13.28,3.640e+00,-2.410e+00,1.0240,0.2800,-0.1860
97,K00806.01,CONFIRMED,143.206304700,2.3480000e-04,-2.3480000e-04,8.90,8.200e-01,-3.800e-01,0.8670,0.0790,-0.0370
98,K00116.03,CONFIRMED,6.164876000,4.6350000e-05,-4.6350000e-05,0.79,1.300e-01,-8.000e-02,1.0120,0.1540,-0.1030
99,K00806.02,CONFIRMED,60.324942160,3.2070000e-05,-3.2070000e-05,12.19,1.110e+00,-5.200e-01,0.8670,0.0790,-0.0370
100,K00806.03,CONFIRMED,29.159861500,2.5340000e-04,-2.5340000e-04,1.91,2.000e-01,-7.000e-02,0.8670,0.0920,-0.0340
101,K00807.01,FALSE POSITIVE,1.540397253,2.7020000e-06,-2.7020000e-06,25.69,7.440e+00,-2.330e+00,0.9150,0.2650,-0.0830
102,K00808.01,FALSE POSITIVE,2.990254430,1.1680000e-05,-1.1680000e-05,1.70,1.000e-01,-1.500e-01,0.7310,0.0420,-0.0630
103,K00809.01,CONFIRMED,1.594745374,1.1300000e-07,-1.1300000e-07,11.30,3.090e+00,-1.330e+00,0.8930,0.2440,-0.1050
104,K00810.01,CONFIRMED,4.783002698,5.4320000e-06,-5.4320000e-06,2.50,3.400e-01,-1.900e-01,0.8070,0.1110,-0.0600
105,K00811.01,CONFIRMED,20.505889210,3.2060000e-05,-3.2060000e-05,3.41,2.800e-01,-3.100e-01,0.7610,0.0630,-0.0700
106,K00812.01,CONFIRMED,3.340218842,3.1770000e-06,-3.1770000e-06,2.03,1.300e-01,-1.700e-01,0.4930,0.0330,-0.0400
107,K00828.01,FALSE POSITIVE,2.507089906,2.4010000e-06,-2.4010000e-06,30.26,9.570e+00,-3.190e+00,0.9390,0.2970,-0.0990
108,K00829.01,CONFIRMED,18.649327280,5.2020000e-05,-5.2020000e-05,3.12,4.700e-01,-2.800e-01,1.0530,0.1610,-0.0940
109,K00117.02,CONFIRMED,4.901449760,1.0700000e-05,-1.0700000e-05,1.70,8.000e-02,-5.000e-02,1.4020,0.0630,-0.0460
110,K00829.02,CONFIRMED,9.751921010,4.8290000e-05,-4.8290000e-05,2.76,4.300e-01,-2.400e-01,1.0530,0.1610,-0.0940
111,K00829.03,CONFIRMED,38.557654600,1.7650000e-04,-1.7650000e-04,4.02,6.200e-01,-3.600e-01,1.0530,0.1610,-0.0940
112,K00830.01,CONFIRMED,3.525632539,1.5000000e-07,-1.5000000e-07,11.58,9.000e-01,-4.800e-01,0.7930,0.0620,-0.0330
113,K00815.01,CANDIDATE,34.843986440,4.0360000e-05,-4.0360000e-05,7.61,1.720e+00,-9.100e-01,0.8710,0.1960,-0.1050
114,K00816.01,CONFIRMED,7.748094239,7.5530000e-06,-7.5530000e-06,5.52,1.700e+00,-5.600e-01,1.0850,0.3340,-0.1110
115,K00817.01,CONFIRMED,23.967936690,9.2490000e-05,-9.2490000e-05,1.80,1.000e-01,-1.500e-01,0.5240,0.0300,-0.0440
116,K00817.02,CONFIRMED,8.295617380,2.3680000e-05,-2.3680000e-05,1.82,1.000e-01,-1.500e-01,0.5240,0.0300,-0.0440
117,K00818.01,CONFIRMED,8.114374820,1.0920000e-05,-1.0920000e-05,2.10,1.400e-01,-1.600e-01,0.5170,0.0350,-0.0390
118,K00819.01,FALSE POSITIVE,38.036729482,3.4840000e-06,-3.4840000e-06,27.50,5.280e+00,-2.270e+00,0.9320,0.1790,-0.0770
119,K00820.01,CANDIDATE,4.640900310,1.4850000e-05,-1.4850000e-05,30.09,5.790e+00,-3.140e+00,0.8260,0.1590,-0.0860
120,K00011.01,FALSE POSITIVE,3.747838198,3.8960000e-06,-3.8960000e-06,13.65,3.110e+00,-1.040e+00,0.8260,0.1880,-0.0630
121,K00117.01,CONFIRMED,14.749148250,2.1740000e-05,-2.1740000e-05,2.89,1.300e-01,-1.000e-01,1.4020,0.0630,-0.0460
122,K00821.01,CONFIRMED,21.812959960,7.2290000e-05,-7.2290000e-05,3.38,9.100e-01,-4.900e-01,0.9990,0.2690,-0.1450
123,K00822.01,FALSE POSITIVE,7.919369370,2.0400000e-06,-2.0400000e-06,10.34,2.590e+00,-8.700e-01,0.7760,0.1950,-0.0650
124,K00823.01,CANDIDATE,1.028436523,7.0500000e-07,-7.0500000e-07,72.77,2.771e+01,-8.600e+00,0.9900,0.3770,-0.1170
125,K00824.01,CONFIRMED,15.375623690,1.0170000e-05,-1.0170000e-05,11.01,4.400e-01,-8.200e-01,0.8330,0.0330,-0.0620
126,K00825.01,CONFIRMED,8.103632710,2.0320000e-05,-2.0320000e-05,2.11,1.800e-01,-2.000e-01,0.7320,0.0620,-0.0680
127,K00825.02,CONFIRMED,4.715108430,1.9410000e-05,-1.9410000e-05,1.46,1.200e-01,-1.400e-01,0.7320,0.0620,-0.0680
128,K00826.01,CONFIRMED,6.365839713,8.0600000e-06,-8.0600000e-06,2.44,6.000e-01,-2.100e-01,0.8490,0.2120,-0.0710
129,K00827.01,FALSE POSITIVE,5.975817540,1.1180000e-05,-1.1180000e-05,3.86,1.320e+00,-4.400e-01,0.9970,0.3410,-0.1140
130,K00839.01,FALSE POSITIVE,2.446737317,3.0890000e-06,-3.0890000e-06,26.25,6.900e+00,-2.470e+00,0.8630,0.2270,-0.0810
131,K00840.01,CONFIRMED,3.040330460,3.3700000e-07,-3.3700000e-07,8.99,8.000e-01,-9.900e-01,0.7910,0.0710,-0.0870
132,K00841.01,CONFIRMED,15.335286750,1.9890000e-05,-1.9890000e-05,5.00,4.900e-01,-1.800e-01,0.8170,0.0800,-0.0290
133,K00117.04,CONFIRMED,7.958253280,7.6730000e-05,-7.6730000e-05,1.06,5.000e-02,-4.000e-02,1.4020,0.0630,-0.0460
134,K00841.02,CONFIRMED,31.330461350,3.9770000e-05,-3.9770000e-05,6.50,6.400e-01,-2.300e-01,0.8170,0.0800,-0.0290
135,K00831.01,FALSE POSITIVE,3.904342500,1.3390000e-06,-1.3390000e-06,12.28,3.560e+00,-1.190e+00,0.8980,0.2600,-0.0870
136,K00832.01,FALSE POSITIVE,9.286358079,5.4600000e-07,-5.4600000e-07,17.61,4.050e+00,-1.870e+00,0.8210,0.1890,-0.0870
137,K00833.01,FALSE POSITIVE,3.951405455,2.2580000e-06,-2.2580000e-06,31.44,8.940e+00,-2.960e+00,0.8690,0.2470,-0.0820
138,K00834.01,CONFIRMED,23.653694150,1.7480000e-05,-1.7480000e-05,7.89,1.380e+00,-1.520e+00,1.3840,0.2420,-0.2660
139,K00834.02,CONFIRMED,13.233522140,4.5030000e-05,-4.5030000e-05,3.06,5.400e-01,-5.800e-01,1.3840,0.2420,-0.2660
140,K00834.03,CONFIRMED,6.155602850,2.7040000e-05,-2.7040000e-05,2.32,4.000e-01,-4.500e-01,1.3840,0.2420,-0.2660
141,K00834.04,CONFIRMED,2.090811305,9.5710000e-06,-9.5710000e-06,1.62,2.800e-01,-3.200e-01,1.3840,0.2420,-0.2660
142,K00117.03,CONFIRMED,3.180027898,7.2780000e-06,-7.2780000e-06,1.53,7.000e-02,-5.000e-02,1.4020,0.0630,-0.0460
143,K00834.05,CONFIRMED,50.446741700,6.5050000e-04,-6.5050000e-04,2.67,4.700e-01,-5.100e-01,1.3840,0.2420,-0.2660
144,K00835.01,CONFIRMED,11.763071640,2.0350000e-05,-2.0350000e-05,2.35,1.700e-01,-8.000e-02,0.7560,0.0540,-0.0270
145,K00835.02,CONFIRMED,56.227927100,3.1340000e-04,-3.1340000e-04,2.37,1.700e-01,-9.000e-02,0.7560,0.0540,-0.0270
146,K00836.01,FALSE POSITIVE,2.384052875,4.7400000e-06,-4.7400000e-06,17.06,1.320e+00,-1.600e+00,0.7010,0.0540,-0.0660
147,K00837.01,CONFIRMED,7.953547000,1.9100000e-05,-1.9100000e-05,2.25,7.000e-02,-1.400e-01,0.7790,0.0230,-0.0490
148,K00837.02,CONFIRMED,4.144516560,1.4400000e-05,-1.4400000e-05,1.48,5.000e-02,-9.000e-02,0.7790,0.0230,-0.0490
149,K00838.01,FALSE POSITIVE,4.859386384,1.2720000e-06,-1.2720000e-06,38.33,1.280e+01,-4.270e+00,0.9880,0.3300,-0.1100
150,K00850.01,CONFIRMED,10.526294577,1.7830000e-06,-1.7830000e-06,8.24,1.480e+00,-8.000e-01,0.7930,0.1430,-0.0770
151,K00851.01,CONFIRMED,4.583520948,4.1800000e-06,-4.1800000e-06,5.39,1.600e+00,-5.300e-01,0.8770,0.2600,-0.0870
152,K00852.01,CONFIRMED,3.761818430,1.1400000e-05,-1.1400000e-05,2.66,7.300e-01,-2.600e-01,0.9490,0.2600,-0.0930
153,K00853.01,CONFIRMED,8.203969580,1.4880000e-05,-1.4880000e-05,3.01,2.400e-01,-3.000e-01,0.8260,0.0660,-0.0830
154,K00853.02,CONFIRMED,14.496451860,6.3600000e-05,-6.3600000e-05,3.01,2.400e-01,-3.000e-01,0.8260,0.0660,-0.0830
155,K00841.03,CONFIRMED,6.546261490,2.6680000e-05,-2.6680000e-05,2.19,2.200e-01,-8.000e-02,0.8170,0.0800,-0.0290
156,K00842.01,CONFIRMED,12.718098660,2.3240000e-05,-2.3240000e-05,2.31,1.700e-01,-2.200e-01,0.6860,0.0490,-0.0670
157,K00842.02,CONFIRMED,36.065881630,8.3050000e-05,-8.3050000e-05,2.64,1.900e-01,-2.600e-01,0.6860,0.0490,-0.0670
158,K00843.01,CONFIRMED,4.190425659,1.6110000e-06,-1.6110000e-06,6.21,2.050e+00,-8.200e-01,1.1350,0.3750,-0.1500
159,K00844.01,CONFIRMED,3.709870784,3.0430000e-06,-3.0430000e-06,4.35,6.400e-01,-2.800e-01,0.9780,0.1460,-0.0620
160,K00845.01,CONFIRMED,16.329752700,3.6110000e-05,-3.6110000e-05,3.75,1.110e+00,-4.700e-01,0.9870,0.2910,-0.1250
161,K00846.01,CONFIRMED,27.807566216,4.7470000e-06,-4.7470000e-06,13.84,3.630e+00,-1.210e+00,0.7850,0.2060,-0.0690
162,K00847.01,CONFIRMED,80.872346900,1.4680000e-04,-1.4680000e-04,7.59,1.240e+00,-1.520e+00,1.2380,0.2020,-0.2470
163,K00848.01,FALSE POSITIVE,3.166465862,2.2220000e-06,-2.2220000e-06,26.82,2.480e+00,-2.740e+00,0.7040,0.0650,-0.0720
164,K00118.01,CONFIRMED,24.993243190,6.1270000e-05,-6.1270000e-05,2.29,1.200e-01,-8.000e-02,1.3170,0.0640,-0.0480
165,K00849.01,CONFIRMED,10.355331160,2.0870000e-05,-2.0870000e-05,2.47,5.900e-01,-3.100e-01,0.9180,0.2170,-0.1170
166,K00867.01,CONFIRMED,16.085189370,3.0220000e-05,-3.0220000e-05,3.68,5.400e-01,-3.600e-01,0.8260,0.1220,-0.0810
167,K00868.01,CANDIDATE,235.998639900,2.7730000e-04,-2.7730000e-04,10.59,3.500e-01,-5.200e-01,0.6570,0.0220,-0.0320
168,K00869.01,CONFIRMED,7.490183050,1.1810000e-05,-1.1810000e-05,2.56,1.700e-01,-1.200e-01,0.7870,0.0510,-0.0390
169,K00869.02,CONFIRMED,36.276123800,1.0550000e-04,-1.0550000e-04,3.03,2.000e-01,-1.500e-01,0.7870,0.0510,-0.0390
